Year,C,G,X,M,GDP,NX
1981,926396 ,294599 ,917245 ,881965 ,1805043 ,9653
1982,1004084 ,329881 ,947554 ,851310 ,1938394 ,682
1983,1085736 ,353087 ,1117529 ,938623 ,2170005 ,3256 
1984,1187723 ,390046 ,1322253 ,1071559 ,2418884 ,29975 
1985,1258801 ,420360 ,1345492 ,1018088 ,2536012 ,47154 
1986,1362088 ,442638 ,1660994 ,1113571 ,2966911 ,76962 
1987,1535273 ,496004 ,1856820 ,1335944 ,3344962 ,73351 
1988,1768778 ,559506 ,1917113 ,1674307 ,3615319 ,97374 
1989,2085285 ,672011 ,1957029 ,1710910 ,4033071 ,100769 
1990,2341495 ,809993 ,2020064 ,1833356 ,4480288 ,117307 
1991,2621716 ,912628 ,2302504 ,2116633 ,5023763 ,135550 
1992,2969789 ,979610 ,2347562 ,2265853 ,5614679 ,120762 
1993,3301502 ,1039888 ,2632257 ,2547194 ,6205338 ,114044 
1994,3714760 ,1076969 ,2857679 ,2763130 ,6784442 ,107517 
1995,3969187 ,1252976 ,3412791 ,3310709 ,7396650 ,110919 
1996,4372154 ,1374873 ,3692075 ,3446367 ,8036590 ,109502 
1997,4743108 ,1496672 ,4060689 ,3900409 ,8717241 ,89611 
1998,5116403 ,1605580 ,4352253 ,4264488 ,9381141 ,68551 
1999,5394295 ,1593712 ,4554722 ,4325339 ,9815595 ,90518 
2000,5706268 ,1623899 ,5373337 ,5167343 ,10351260 ,139558 
2001,5756645 ,1696642 ,4942685 ,4413478 ,10158209 ,192024 
2002,5953938 ,1749798 ,5427124 ,4691827 ,10680883 ,242502 
2003,6100329 ,1752027 ,5924171 ,5188584 ,10965866 ,328873 
2004,6490958 ,1802664 ,6982430 ,6580684 ,11649645 ,372099 
2005,6784327 ,1845565 ,7329793 ,6825273 ,12092254 ,290866 
2006,6947802 ,1854009 ,8316084 ,7588087 ,12640803 ,311699 
2007,7197916 ,1922075 ,9349494 ,8283905 ,13407062 ,332766 
2008,7260169 ,1991181 ,9230775 ,8548202 ,13150950 ,314646 
2009,7175511 ,2055721 ,7827336 ,6677161 ,12961656 ,413994 
2010,7497682 ,2098717 ,10013538 ,9015369 ,14119213 ,429639 
2011,7798976 ,2167595 ,10419700 ,9456937 ,14312200 ,388372 
2012,8035105 ,2254282 ,10345375 ,9252005 ,14686917 ,454191 
2013,8248385 ,2242637 ,10579884 ,9200363 ,15230739 ,423849 
2014,8588741 ,2342754 ,11254123 ,9594908 ,16111867 ,470538 
2015,8760745 ,2341751 ,10776380 ,8628010 ,16759016 ,558901 
2016,9028705 ,2445745 ,10763899 ,8686656 ,17118694 ,567277 
